network,obj,trial,model,model_paras,time_train,time_total,MAE_train,RMSE_train,R_train,R2_train,MAPE_train,NNSE_train,KGE_train,PCD_train,KLD_train,VAF_train,A30_train,A20_train,MAE_test,RMSE_test,R_test,R2_test,MAPE_test,NNSE_test,KGE_test,PCD_test,KLD_test,VAF_test,A30_test,A20_test
0,MSE,4,FBIO-MLP,1000-50,338.509,338.512,0.424,0.599,0.933,0.871,0.059,0.886,0.903,0.766,5.571,87.071,0.979,0.948,0.745,1.116,0.778,0.56,0.12,0.694,0.676,0.756,-31.636,60.453,0.904,0.807
0,MSE,4,SMA-MLP,1000-50-0.03,108.615,108.618,0.527,0.724,0.9,0.811,0.076,0.841,0.849,0.766,7.894,81.059,0.974,0.907,0.743,1.115,0.769,0.561,0.119,0.695,0.667,0.72,-23.968,59.042,0.892,0.831
0,MSE,4,CGO-MLP,1000-50,333.464,333.467,0.491,0.688,0.911,0.829,0.07,0.854,0.864,0.755,10.578,82.929,0.974,0.943,0.734,1.108,0.779,0.566,0.119,0.697,0.66,0.768,-29.978,60.638,0.904,0.843
0,MSE,4,AEO-MLP,1000-50,208.531,208.534,0.547,0.749,0.893,0.798,0.079,0.832,0.842,0.708,9.752,79.758,0.969,0.933,0.765,1.059,0.806,0.603,0.12,0.716,0.673,0.72,-33.403,64.916,0.94,0.807
0,MSE,4,IAEO-MLP,1000-50,209.158,209.161,0.57,0.768,0.887,0.787,0.082,0.825,0.845,0.734,11.412,78.733,0.974,0.922,0.781,1.126,0.783,0.552,0.123,0.69,0.653,0.732,-39.093,61.315,0.88,0.807
0,MSE,4,EAEO-MLP,1000-50,209.669,209.673,0.578,0.792,0.882,0.774,0.083,0.816,0.799,0.688,27.347,77.477,0.969,0.917,0.728,1.078,0.788,0.589,0.116,0.709,0.623,0.671,-22.434,61.506,0.916,0.831
0,MSE,4,MAEO-MLP,1000-50,168.972,168.975,0.509,0.71,0.905,0.818,0.071,0.846,0.859,0.74,10.408,81.817,0.974,0.938,0.716,1.109,0.79,0.565,0.117,0.697,0.645,0.683,-37.578,62.241,0.904,0.831
0,MSE,4,AAEO-MLP,1000-50,158.803,158.806,0.444,0.627,0.926,0.858,0.062,0.876,0.894,0.781,7.316,85.81,0.969,0.948,0.728,1.098,0.808,0.574,0.12,0.701,0.659,0.768,-45.001,65.037,0.892,0.819
0,MSE,5,GA-MLP,1000-50-0.85-0.05,108.167,108.171,0.482,0.675,0.914,0.836,0.067,0.859,0.885,0.75,10.842,83.56,0.974,0.953,0.745,1.149,0.775,0.533,0.121,0.682,0.634,0.768,-40.668,59.957,0.88,0.819
0,MSE,5,DE-MLP,1000-50-0.85-0.8,105.803,105.808,0.552,0.759,0.895,0.792,0.079,0.828,0.778,0.693,-10.924,79.429,0.969,0.948,0.864,1.316,0.73,0.388,0.145,0.62,0.52,0.671,-60.83,52.813,0.892,0.783
0,MSE,5,PSO-MLP,1000-50-1.2-1.2-0.4-0.9,106.882,106.885,0.792,1.04,0.781,0.609,0.115,0.719,0.679,0.693,19.361,60.923,0.938,0.891,1.054,1.422,0.582,0.285,0.163,0.583,0.465,0.622,-23.622,32.542,0.867,0.723
0,MSE,5,HHO-MLP,1000-50,193.742,193.746,0.69,0.973,0.812,0.658,0.104,0.745,0.745,0.693,23.878,65.852,0.938,0.876,0.777,1.109,0.777,0.565,0.121,0.697,0.644,0.683,-29.164,60.39,0.904,0.819
0,MSE,5,SSA-MLP,1000-50-0.8-0.2-0.1,196.926,196.93,0.523,0.727,0.9,0.809,0.074,0.84,0.856,0.745,11.336,80.922,0.974,0.938,0.697,1.043,0.801,0.616,0.11,0.722,0.726,0.756,-21.75,63.96,0.916,0.831
0,MSE,5,HGS-MLP,1000-50-0.03-1000,107.232,107.236,0.527,0.718,0.902,0.814,0.074,0.843,0.867,0.719,11.923,81.39,0.979,0.933,0.722,1.059,0.796,0.604,0.114,0.716,0.68,0.756,-24.823,63.296,0.916,0.831
0,MSE,5,MVO-MLP,1000-50-0.2-1.0,106.723,106.726,0.523,0.703,0.907,0.822,0.073,0.849,0.875,0.708,12.86,82.18,0.969,0.938,0.748,1.081,0.788,0.587,0.117,0.708,0.688,0.72,-27.314,62.136,0.904,0.843
